Term,Type,Document_Frequency,Financial_Literacy,Reason
job plan,Bigram,110,Regular,
just month,Bigram,110,Regular,
mess,Unigram,110,Regular,
order save,Bigram,110,Regular,
performance,Unigram,110,Regular,
replace roof,Bigram,110,Regular,
split,Unigram,110,Regular,
standard,Unigram,110,Regular,
total balance,Bigram,110,Regular,
account like,Bigram,109,Regular,
add basically,Bigram,109,Regular,
add income,Bigram,109,Regular,
add revolve,Bigram,109,Regular,
apply credit,Bigram,109,Regular,
arise,Unigram,109,Regular,
consolidate allow,Bigram,109,Regular,
consolidation make,Bigram,109,Regular,
cost live,Bigram,109,Regular,
deduct,Unigram,109,Regular,
employ current,Bigram,109,Regular,
fiancee,Unigram,109,Regular,
half year,Bigram,109,Regular,
hello look,Bigram,109,Regular,
high like,Bigram,109,Regular,
just minimum,Bigram,109,Regular,
labor,Unigram,109,Regular,
medical add,Bigram,109,Regular,
medium,Unigram,109,Regular,
motivate,Unigram,109,Regular,
payment know,Bigram,109,Regular,
preparation,Unigram,109,Regular,
rate use,Bigram,109,Regular,
remain fund,Bigram,109,Regular,
security deposit,Bigram,109,Regular,
update kitchen,Bigram,109,Regular,
account monthly,Bigram,108,Regular,
action,Unigram,108,Regular,
board,Unigram,108,Regular,
college student,Bigram,108,Regular,
consolidate faster,Bigram,108,Regular,
credit thank,Bigram,108,Regular,
downpayment,Unigram,108,Regular,
employ job,Bigram,108,Regular,
fund payoff,Bigram,108,Regular,
fund wed,Bigram,108,Regular,
history make,Bigram,108,Regular,
ira,Unigram,108,Literacy,
like monthly,Bigram,108,Regular,
monthly net,Bigram,108,Regular,
penny,Unigram,108,Regular,
pmt,Unigram,108,Regular,
propose,Unigram,108,Regular,
repair need,Bigram,108,Regular,
short time,Bigram,108,Regular,
use personal,Bigram,108,Regular,
waste,Unigram,108,Regular,
www,Unigram,108,Regular,
boy,Unigram,107,Regular,
car expense,Bigram,107,Regular,
card really,Bigram,107,Regular,
consolidate close,Bigram,107,Regular,
continue work,Bigram,107,Regular,
end meet,Bigram,107,Regular,
financial plan,Bigram,107,Regular,
help son,Bigram,107,Regular,
managable,Unigram,107,Regular,
new start,Bigram,107,Regular,
payment quicker,Bigram,107,Regular,
plan payoff,Bigram,107,Regular,
respect,Unigram,107,Regular,
score good,Bigram,107,Regular,
specialize,Unigram,107,Regular,
till,Unigram,107,Regular,
unite,Unigram,107,Regular,
want purchase,Bigram,107,Regular,
add repay,Bigram,106,Regular,
clean slate,Bigram,106,Regular,
currently live,Bigram,106,Regular,
extensive,Unigram,106,Regular,
farm,Unigram,106,Regular,
fixture,Unigram,106,Regular,
flood,Unigram,106,Regular,
grow company,Bigram,106,Regular,
hesitate ask,Bigram,106,Regular,
household income,Bigram,106,Regular,
investor thank,Bigram,106,Regular,
liability,Unigram,106,Regular,
make extra,Bigram,106,Regular,
month able,Bigram,106,Regular,
normally,Unigram,106,Regular,
quote,Unigram,106,Regular,
rate better,Bigram,106,Regular,
save thousand,Bigram,106,Regular,
score time,Bigram,106,Regular,
want say,Bigram,106,Regular,
work add,Bigram,106,Regular,
year period,Bigram,106,Regular,
add company,Bigram,105,Regular,
annual income,Bigram,105,Regular,
appreciate opportunity,Bigram,105,Regular,
carry balance,Bigram,105,Regular,
club investor,Bigram,105,Regular,
eager,Unigram,105,Regular,
effectively,Unigram,105,Regular,
fix house,Bigram,105,Regular,
ford,Unigram,105,Regular,
free soon,Bigram,105,Regular,
look make,Bigram,105,Regular,
make purchase,Bigram,105,Regular,
manage payment,Bigram,105,Regular,
month free,Bigram,105,Regular,
payment low,Bigram,105,Regular,
payoff add,Bigram,105,Regular,
personal expense,Bigram,105,Regular,
potential investor,Bigram,105,Regular,
promotional,Unigram,105,Regular,
regularly,Unigram,105,Regular,
response,Unigram,105,Regular,
set payment,Bigram,105,Regular,
skill,Unigram,105,Regular,
ultimate,Unigram,105,Regular,
utilization,Unigram,105,Literacy,
year income,Bigram,105,Regular,
able start,Bigram,104,Regular,
account make,Bigram,104,Regular,
add clear,Bigram,104,Regular,
contact question,Bigram,104,Regular,
driver,Unigram,104,Regular,
grind pool,Bigram,104,Regular,
hate,Unigram,104,Regular,
house market,Bigram,104,Regular,
income stable,Bigram,104,Regular,
investment thank,Bigram,104,Regular,
job great,Bigram,104,Regular,
lawyer,Unigram,104,Regular,
month current,Bigram,104,Regular,
new carpet,Bigram,104,Regular,
payment order,Bigram,104,Regular,
provider,Unigram,104,Regular,
search,Unigram,104,Regular,
smarter,Unigram,104,Regular,
use lower,Bigram,104,Regular,
wrong,Unigram,104,Regular,
year business,Bigram,104,Regular,
add graduate,Bigram,103,Regular,
add son,Bigram,103,Regular,
available credit,Bigram,103,Regular,
cash hand,Bigram,103,Regular,
feel good,Bigram,103,Regular,
improvement new,Bigram,103,Regular,
law school,Bigram,103,Regular,
liquid,Unigram,103,Uncertain,עלול להתכוון ל'נזיל' פיננסית או למשמעות מילולית
lower intrest,Bigram,103,Regular,
make timely,Bigram,103,Regular,
method,Unigram,103,Regular,
payment easy,Bigram,103,Regular,
place employment,Bigram,103,Regular,
possible thank,Bigram,103,Regular,
rate balance,Bigram,103,Regular,
rate good,Bigram,103,Regular,
run credit,Bigram,103,Regular,
simplify life,Bigram,103,Regular,
solar,Unigram,103,Regular,
ton,Unigram,103,Regular,
touch,Unigram,103,Regular,
verification,Unigram,103,Regular,
veteran,Unigram,103,Regular,
want save,Bigram,103,Regular,
wise,Unigram,103,Regular,
work house,Bigram,103,Regular,
year goal,Bigram,103,Regular,
add mortgage,Bigram,102,Regular,
climb,Unigram,102,Regular,
consolodation,Unigram,102,Regular,
current balance,Bigram,102,Regular,
currently high,Bigram,102,Regular,
foreclosure,Unigram,102,Regular,
forward free,Bigram,102,Regular,
gross income,Bigram,102,Regular,
lower current,Bigram,102,Regular,
max,Unigram,102,Regular,
month term,Bigram,102,Regular,
payment actually,Bigram,102,Regular,
quot quot,Bigram,102,Regular,
refinance home,Bigram,102,Regular,
return investment,Bigram,102,Regular,
route,Unigram,102,Regular,
save retirement,Bigram,102,Regular,
science,Unigram,102,Regular,
work way,Bigram,102,Regular,
add feel,Bigram,101,Regular,
certainly,Unigram,101,Regular,
chunk,Unigram,101,Regular,
currently monthly,Bigram,101,Regular,
faith,Unigram,101,Regular,
grow business,Bigram,101,Regular,
insurance company,Bigram,101,Regular,
like higher,Bigram,101,Regular,
live credit,Bigram,101,Regular,
lower fix,Bigram,101,Regular,
make headway,Bigram,101,Regular,
responsibly,Unigram,101,Regular,
saving month,Bigram,101,Regular,
way consolidate,Bigram,101,Regular,
zero balance,Bigram,101,Regular,
able help,Bigram,100,Regular,
bachelor degree,Bigram,100,Regular,
card carry,Bigram,100,Regular,
club month,Bigram,100,Regular,
expenditure,Unigram,100,Regular,
family vacation,Bigram,100,Regular,
favorable,Unigram,100,Regular,
high add,Bigram,100,Regular,
higher card,Bigram,100,Regular,
insurance car,Bigram,100,Regular,
job employ,Bigram,100,Regular,
job past,Bigram,100,Regular,
look better,Bigram,100,Regular,
low credit,Bigram,100,Regular,
make dream,Bigram,100,Regular,
minimum balance,Bigram,100,Regular,
money home,Bigram,100,Regular,
need consolidation,Bigram,100,Regular,
question ask,Bigram,100,Regular,
regret,Unigram,100,Regular,
requirement,Unigram,100,Regular,
start family,Bigram,100,Regular,
student payment,Bigram,100,Regular,
thank read,Bigram,100,Regular,
weight,Unigram,100,Regular,
year save,Bigram,100,Regular,
account high,Bigram,99,Regular,
account month,Bigram,99,Regular,
add hope,Bigram,99,Regular,
add large,Bigram,99,Regular,
add open,Bigram,99,Regular,
card finish,Bigram,99,Regular,
card revolve,Bigram,99,Regular,
good rate,Bigram,99,Regular,
green,Unigram,99,Regular,
increase monthly,Bigram,99,Regular,
intrest rat,Bigram,99,Regular,
invest money,Bigram,99,Regular,
like reduce,Bigram,99,Regular,
ontime,Unigram,99,Regular,
payment schedule,Bigram,99,Regular,
rat payment,Bigram,99,Regular,
save little,Bigram,99,Regular,
set aside,Bigram,99,Regular,
solely,Unigram,99,Regular,
time try,Bigram,99,Regular,
vet,Unigram,99,Regular,
way thank,Bigram,99,Regular,
work employer,Bigram,99,Regular,
add owe,Bigram,98,Regular,
add update,Bigram,98,Regular,
amp credit,Bigram,98,Regular,
budget job,Bigram,98,Regular,
car month,Bigram,98,Regular,
card completely,Bigram,98,Regular,
custom,Unigram,98,Regular,
downturn,Unigram,98,Regular,
harley,Unigram,98,Regular,
help able,Bigram,98,Regular,
help build,Bigram,98,Regular,
help need,Bigram,98,Regular,
home family,Bigram,98,Regular,
insulation,Unigram,98,Regular,
mint,Unigram,98,Regular,
owe credit,Bigram,98,Regular,
perfect payment,Bigram,98,Regular,
rate higher,Bigram,98,Regular,
sport,Unigram,98,Regular,
stressful,Unigram,98,Regular,
survive,Unigram,98,Regular,
time employee,Bigram,98,Regular,
visa card,Bigram,98,Regular,
worthiness,Unigram,98,Literacy,
add auto,Bigram,97,Regular,
card recently,Bigram,97,Regular,
dream come,Bigram,97,Regular,
heart,Unigram,97,Regular,
home want,Bigram,97,Regular,
include credit,Bigram,97,Regular,
make better,Bigram,97,Regular,
medical procedure,Bigram,97,Regular,
money just,Bigram,97,Regular,
montly payment,Bigram,97,Regular,
new appliance,Bigram,97,Regular,
offer lend,Bigram,97,Regular,
payment money,Bigram,97,Regular,
plan early,Bigram,97,Regular,
push,Unigram,97,Regular,
rat higher,Bigram,97,Regular,
recommend,Unigram,97,Regular,
right track,Bigram,97,Regular,
round,Unigram,97,Regular,
school work,Bigram,97,Regular,
sell car,Bigram,97,Regular,
seller,Unigram,97,Regular,
son college,Bigram,97,Regular,
south,Unigram,97,Regular,
use cash,Bigram,97,Regular,
use current,Bigram,97,Regular,
add discover,Bigram,96,Regular,
add financial,Bigram,96,Regular,
allow year,Bigram,96,Regular,
card discover,Bigram,96,Regular,
ceiling,Unigram,96,Regular,
consolidate student,Bigram,96,Regular,
decade,Unigram,96,Regular,
diligent,Unigram,96,Regular,
discipline,Unigram,96,Regular,
extra fund,Bigram,96,Regular,
family home,Bigram,96,Regular,
international,Unigram,96,Regular,
just start,Bigram,96,Regular,
launch,Unigram,96,Regular,
little year,Bigram,96,Regular,
manufacture,Unigram,96,Regular,
need small,Bigram,96,Regular,
new kitchen,Bigram,96,Regular,
payment multiple,Bigram,96,Regular,
pension,Unigram,96,Literacy,
pet,Unigram,96,Regular,
plan add,Bigram,96,Regular,
proof,Unigram,96,Regular,
question add,Bigram,96,Regular,
start cost,Bigram,96,Regular,
tech,Unigram,96,Regular,
time money,Bigram,96,Regular,
boa,Unigram,95,Regular,
bunch,Unigram,95,Regular,
card combine,Bigram,95,Regular,
card easier,Bigram,95,Regular,
card longer,Bigram,95,Regular,
card repair,Bigram,95,Regular,
conservative,Unigram,95,Regular,
consolidate incur,Bigram,95,Regular,
consolidate just,Bigram,95,Regular,
consolidation payoff,Bigram,95,Regular,
cut monthly,Bigram,95,Regular,
earlier year,Bigram,95,Regular,
expense like,Bigram,95,Regular,
financial position,Bigram,95,Regular,
food entertainment,Bigram,95,Regular,
free sooner,Bigram,95,Regular,
history year,Bigram,95,Regular,
include mortgage,Bigram,95,Regular,
install new,Bigram,95,Regular,
investment add,Bigram,95,Regular,
legal fee,Bigram,95,Regular,
like year,Bigram,95,Regular,
new life,Bigram,95,Regular,
payment rat,Bigram,95,Regular,
percentage rate,Bigram,95,Regular,
plant,Unigram,95,Regular,
purchase add,Bigram,95,Regular,
reduce high,Bigram,95,Regular,
register nurse,Bigram,95,Regular,
responsible time,Bigram,95,Regular,
sink,Unigram,95,Regular,
smaller credit,Bigram,95,Regular,
try help,Bigram,95,Regular,
use cover,Bigram,95,Regular,
withdraw,Unigram,95,Regular,
work hour,Bigram,95,Regular,
year feel,Bigram,95,Regular,
year high,Bigram,95,Regular,
active duty,Bigram,94,Regular,
appreciate add,Bigram,94,Regular,
balance rate,Bigram,94,Regular,
bathroom remodel,Bigram,94,Regular,
card open,Bigram,94,Regular,
educational,Unigram,94,Regular,
elimination,Unigram,94,Regular,
energy efficient,Bigram,94,Regular,
family add,Bigram,94,Regular,
fund home,Bigram,94,Regular,
great rate,Bigram,94,Regular,
home credit,Bigram,94,Regular,
job need,Bigram,94,Regular,
large payment,Bigram,94,Regular,
like eliminate,Bigram,94,Regular,
partially,Unigram,94,Regular,
refund,Unigram,94,Regular,
sandy,Unigram,94,Regular,
score thank,Bigram,94,Regular,
time home,Bigram,94,Regular,
typically,Unigram,94,Regular,
unless,Unigram,94,Regular,
upcoming wed,Bigram,94,Regular,
use extra,Bigram,94,Regular,
use payment,Bigram,94,Regular,
woman,Unigram,94,Regular,
able faster,Bigram,93,Regular,
account thank,Bigram,93,Regular,
add question,Bigram,93,Regular,
afford payment,Bigram,93,Regular,
appear,Unigram,93,Regular,
aren,Unigram,93,Regular,
budget plan,Bigram,93,Regular,
card sooner,Bigram,93,Regular,
child college,Bigram,93,Regular,
clarify,Unigram,93,Regular,
collect,Unigram,93,Regular,
consolidate various,Bigram,93,Regular,
consultant,Unigram,93,Regular,
continue grow,Bigram,93,Regular,
couple small,Bigram,93,Regular,
day day,Bigram,93,Regular,
day leave,Bigram,93,Regular,
hardwood floor,Bigram,93,Regular,
increase rat,Bigram,93,Regular,
lack,Unigram,93,Regular,
month balance,Bigram,93,Regular,
navy,Unigram,93,Regular,
need finish,Bigram,93,Regular,
opportunity consolidate,Bigram,93,Regular,
payment easily,Bigram,93,Regular,
payroll,Unigram,93,Regular,
rat range,Bigram,93,Regular,
request help,Bigram,93,Regular,
score add,Bigram,93,Regular,
table,Unigram,93,Regular,
unique,Unigram,93,Regular,
use new,Bigram,93,Regular,
add account,Bigram,92,Regular,
business owner,Bigram,92,Regular,
card long,Bigram,92,Regular,
case emergency,Bigram,92,Regular,
company past,Bigram,92,Regular,
credit stable,Bigram,92,Regular,
dave,Unigram,92,Regular,
disability,Unigram,92,Regular,
family thank,Bigram,92,Regular,
help improve,Bigram,92,Regular,
high make,Bigram,92,Regular,
home live,Bigram,92,Regular,
income add,Bigram,92,Regular,
invest future,Bigram,92,Regular,
live paycheck,Bigram,92,Regular,
overhead,Unigram,92,Regular,
payment past,Bigram,92,Regular,
payment single,Bigram,92,Regular,
plan stay,Bigram,92,Regular,
rent payment,Bigram,92,Regular,
score credit,Bigram,92,Regular,
temporary,Unigram,92,Regular,
unforseen,Unigram,92,Regular,
usage,Unigram,92,Regular,
weather,Unigram,92,Regular,
year lower,Bigram,92,Regular,
accumulate year,Bigram,91,Regular,
add expense,Bigram,91,Regular,
add student,Bigram,91,Regular,
apr card,Bigram,91,Regular,
aware,Unigram,91,Regular,
balance apr,Bigram,91,Regular,
bid,Unigram,91,Regular,
card instead,Bigram,91,Regular,
card outstanding,Bigram,91,Regular,
club member,Bigram,91,Regular,
combination,Unigram,91,Regular,
company add,Bigram,91,Regular,
continue make,Bigram,91,Regular,
correction,Unigram,91,Regular,
costly,Unigram,91,Regular,
credit want,Bigram,91,Regular,
deductible,Unigram,91,Regular,
faithfully,Unigram,91,Regular,
grand,Unigram,91,Regular,
hang,Unigram,91,Regular,
help accomplish,Bigram,91,Regular,
hotel,Unigram,91,Regular,
instead make,Bigram,91,Regular,
money lower,Bigram,91,Regular,
motor,Unigram,91,Regular,
overall monthly,Bigram,91,Regular,
overseas,Unigram,91,Regular,
package,Unigram,91,Regular,
particular,Unigram,91,Regular,
payment feel,Bigram,91,Regular,
place year,Bigram,91,Regular,
refinance current,Bigram,91,Regular,
snowball,Unigram,91,Literacy,
straight,Unigram,91,Regular,
suffer,Unigram,91,Regular,
thank investment,Bigram,91,Regular,
time read,Bigram,91,Regular,
ultimate goal,Bigram,91,Regular,
vehicle repair,Bigram,91,Regular,
year consolidate,Bigram,91,Regular,
account good,Bigram,90,Regular,
add dept,Bigram,90,Regular,
allow lower,Bigram,90,Regular,
art,Unigram,90,Regular,
card raise,Bigram,90,Regular,
card soon,Bigram,90,Regular,
certify,Unigram,90,Regular,
club great,Bigram,90,Regular,
consolidation medical,Bigram,90,Regular,
credit monthly,Bigram,90,Regular,
credit worthiness,Bigram,90,Regular,
current home,Bigram,90,Regular,
don need,Bigram,90,Regular,
free clear,Bigram,90,Regular,
heloc,Unigram,90,Literacy,
high monthly,Bigram,90,Regular,
home value,Bigram,90,Regular,
hot tub,Bigram,90,Regular,
kick,Unigram,90,Regular,
lot easier,Bigram,90,Regular,
minor repair,Bigram,90,Regular,
modest,Unigram,90,Regular,
month minimum,Bigram,90,Regular,
paycheck paycheck,Bigram,90,Regular,
protect,Unigram,90,Regular,
quality life,Bigram,90,Regular,
rat just,Bigram,90,Regular,
school credit,Bigram,90,Regular,
single lower,Bigram,90,Regular,
start year,Bigram,90,Regular,
upper,Unigram,90,Regular,
van,Unigram,90,Regular,
want card,Bigram,90,Regular,
additional income,Bigram,89,Regular,
advantage lower,Bigram,89,Regular,
better position,Bigram,89,Regular,
card rest,Bigram,89,Regular,
credit lower,Bigram,89,Regular,
endeavor,Unigram,89,Regular,
expense incur,Bigram,89,Regular,
expense year,Bigram,89,Regular,
free time,Bigram,89,Regular,
fulfill,Unigram,89,Regular,
lifetime,Unigram,89,Regular,
like idea,Bigram,89,Regular,
look use,Bigram,89,Regular,
payment student,Bigram,89,Regular,
payoff close,Bigram,89,Regular,
remember,Unigram,89,Regular,
replace old,Bigram,89,Regular,
request order,Bigram,89,Regular,
responsible individual,Bigram,89,Regular,
retain,Unigram,89,Regular,
spend year,Bigram,89,Regular,
studio,Unigram,89,Regular,
time current,Bigram,89,Regular,
transaction,Unigram,89,Regular,
try free,Bigram,89,Regular,
walmart,Unigram,89,Regular,
york city,Bigram,89,Regular,
add previous,Bigram,88,Regular,
add steady,Bigram,88,Regular,
add vehicle,Bigram,88,Regular,
additional information,Bigram,88,Regular,
affordable payment,Bigram,88,Regular,
ahead time,Bigram,88,Regular,
aim,Unigram,88,Regular,
average rate,Bigram,88,Regular,
better rat,Bigram,88,Regular,
card hospital,Bigram,88,Regular,
card wish,Bigram,88,Regular,
currently lend,Bigram,88,Regular,
dealer,Unigram,88,Regular,
decrease monthly,Bigram,88,Regular,
dryer,Unigram,88,Regular,
end credit,Bigram,88,Regular,
example,Unigram,88,Regular,
great help,Bigram,88,Regular,
history good,Bigram,88,Regular,
importantly,Unigram,88,Regular,
initially,Unigram,88,Regular,
make difference,Bigram,88,Regular,
payment record,Bigram,88,Regular,
plan future,Bigram,88,Regular,
rat help,Bigram,88,Regular,
save monthly,Bigram,88,Regular,
school time,Bigram,88,Regular,
situation good,Bigram,88,Regular,
upfront,Unigram,88,Regular,
wisely,Unigram,88,Regular,
work financial,Bigram,88,Regular,
act,Unigram,87,Regular,
add simple,Bigram,87,Regular,
appreciate time,Bigram,87,Regular,
auto payment,Bigram,87,Regular,
cancer,Unigram,87,Regular,
card vehicle,Bigram,87,Regular,
cheap,Unigram,87,Regular,
citi card,Bigram,87,Regular,
club time,Bigram,87,Regular,
combine monthly,Bigram,87,Regular,
consolidation thank,Bigram,87,Regular,
dentist,Unigram,87,Regular,
fund make,Bigram,87,Regular,
help purchase,Bigram,87,Regular,
house repair,Bigram,87,Regular,
improvement credit,Bigram,87,Regular,
journey,Unigram,87,Regular,
make need,Bigram,87,Regular,
mortage,Unigram,87,Regular,
payment default,Bigram,87,Regular,
plan repay,Bigram,87,Regular,
ramsey,Unigram,87,Literacy,
rat consolidate,Bigram,87,Regular,
rate increase,Bigram,87,Regular,
reception,Unigram,87,Regular,
short sale,Bigram,87,Regular,
strive,Unigram,87,Regular,
tear,Unigram,87,Regular,
tire high,Bigram,87,Regular,
want just,Bigram,87,Regular,
washer,Unigram,87,Regular,
welcome,Unigram,87,Regular,
year car,Bigram,87,Regular,
add invest,Bigram,86,Regular,
card acquire,Bigram,86,Regular,
consider application,Bigram,86,Regular,
credit just,Bigram,86,Regular,
creditcard,Unigram,86,Regular,
factor,Unigram,86,Regular,
file bankruptcy,Bigram,86,Regular,
food gas,Bigram,86,Regular,
fund allow,Bigram,86,Regular,
greatly help,Bigram,86,Regular,
history miss,Bigram,86,Regular,
income time,Bigram,86,Regular,
manage money,Bigram,86,Regular,
partial,Unigram,86,Regular,
payday,Unigram,86,Regular,
perfect credit,Bigram,86,Regular,
pile,Unigram,86,Regular,
rate account,Bigram,86,Regular,
receive fund,Bigram,86,Regular,
role,Unigram,86,Regular,
roommate,Unigram,86,Regular,
save time,Bigram,86,Regular,
simplify payment,Bigram,86,Regular,
way credit,Bigram,86,Regular,
year love,Bigram,86,Regular,
add don,Bigram,85,Regular,
approx month,Bigram,85,Regular,
bathroom kitchen,Bigram,85,Regular,
box,Unigram,85,Regular,
budget include,Bigram,85,Regular,
company business,Bigram,85,Regular,
company stable,Bigram,85,Regular,
consolidate debit,Bigram,85,Regular,
diligently,Unigram,85,Regular,
disposable,Unigram,85,Literacy,
don know,Bigram,85,Regular,
financial responsibility,Bigram,85,Regular,
great investment,Bigram,85,Regular,
invest thank,Bigram,85,Regular,
job like,Bigram,85,Regular,
job month,Bigram,85,Regular,
minimum credit,Bigram,85,Regular,
month currently,Bigram,85,Regular,
monthly add,Bigram,85,Regular,
newly,Unigram,85,Regular,
payment include,Bigram,85,Regular,
payment place,Bigram,85,Regular,
portfolio,Unigram,85,Uncertain,תיק השקעות (טכני) אבל גם 'תיק עבודות' יצירתי (יש בקורפוס גם photographer/designer)
position stable,Bigram,85,Regular,
purpose use,Bigram,85,Regular,
renter,Unigram,85,Regular,
repair credit,Bigram,85,Regular,
replace window,Bigram,85,Regular,
solid credit,Bigram,85,Regular,
sooner later,Bigram,85,Regular,
tax year,Bigram,85,Regular,
thank null,Bigram,85,Regular,
time able,Bigram,85,Regular,
try reduce,Bigram,85,Regular,
watch,Unigram,85,Regular,
able repay,Bigram,84,Regular,
add day,Bigram,84,Regular,
balance car,Bigram,84,Regular,
biggest,Unigram,84,Regular,
brace,Unigram,84,Regular,
capitol,Unigram,84,Regular,
card couple,Bigram,84,Regular,
card store,Bigram,84,Regular,
change life,Bigram,84,Regular,
consider invest,Bigram,84,Regular,
cool,Unigram,84,Regular,
dave ramsey,Bigram,84,Regular,
desperately,Unigram,84,Regular,
downsize,Unigram,84,Regular,
dti,Unigram,84,Literacy,
easily make,Bigram,84,Regular,
explain,Unigram,84,Regular,
free contact,Bigram,84,Regular,
hassle,Unigram,84,Regular,
indicate,Unigram,84,Regular,
insure,Unigram,84,Regular,
knowledge,Unigram,84,Regular,
lump payment,Bigram,84,Regular,
make large,Bigram,84,Regular,
minute,Unigram,84,Regular,
money bank,Bigram,84,Regular,
news,Unigram,84,Regular,
offset,Unigram,84,Regular,
payment higher,Bigram,84,Regular,
payment really,Bigram,84,Regular,
payoff year,Bigram,84,Regular,
policy,Unigram,84,Regular,
prompt,Unigram,84,Regular,
safe investment,Bigram,84,Regular,
shorter period,Bigram,84,Regular,
shower,Unigram,84,Regular,
toyota,Unigram,84,Regular,
add approve,Bigram,83,Regular,
apr rate,Bigram,83,Regular,
believe good,Bigram,83,Regular,
bring home,Bigram,83,Regular,
business venture,Bigram,83,Regular,
card set,Bigram,83,Regular,
club past,Bigram,83,Regular,
company make,Bigram,83,Regular,
consolidate manageable,Bigram,83,Regular,
consolidate unsecured,Bigram,83,Regular,
credit use,Bigram,83,Regular,
definite,Unigram,83,Regular,
delay,Unigram,83,Regular,
electricity,Unigram,83,Regular,
gutter,Unigram,83,Regular,
higher intrest,Bigram,83,Regular,
home buy,Bigram,83,Regular,
incredibly,Unigram,83,Regular,
jeep,Unigram,83,Regular,
job job,Bigram,83,Regular,
late fee,Bigram,83,Regular,
month good,Bigram,83,Regular,
new tire,Bigram,83,Regular,
payer,Unigram,83,Regular,
payment don,Bigram,83,Regular,
rat good,Bigram,83,Regular,
repayment history,Bigram,83,Regular,
set time,Bigram,83,Regular,
significantly lower,Bigram,83,Regular,
simpler,Unigram,83,Regular,
tire credit,Bigram,83,Regular,
upgrade home,Bigram,83,Regular,
use small,Bigram,83,Regular,
want year,Bigram,83,Regular,
year steady,Bigram,83,Regular,
year wife,Bigram,83,Regular,
account balance,Bigram,82,Regular,
account time,Bigram,82,Regular,
balance just,Bigram,82,Regular,
balance rat,Bigram,82,Regular,
balance thank,Bigram,82,Regular,
better life,Bigram,82,Regular,
capital credit,Bigram,82,Regular,
chase bank,Bigram,82,Regular,
club like,Bigram,82,Regular,
collateral,Unigram,82,Literacy,
college expense,Bigram,82,Regular,
day late,Bigram,82,Regular,
don hesitate,Bigram,82,Regular,
don like,Bigram,82,Regular,
family need,Bigram,82,Regular,
help parent,Bigram,82,Regular,
help rid,Bigram,82,Regular,
improve home,Bigram,82,Regular,
instead credit,Bigram,82,Regular,
internet food,Bigram,82,Regular,
look reduce,Bigram,82,Regular,
medical insurance,Bigram,82,Regular,
million,Unigram,82,Regular,
need update,Bigram,82,Regular,
offer lower,Bigram,82,Regular,
order lower,Bigram,82,Regular,
payment eliminate,Bigram,82,Regular,
small personal,Bigram,82,Regular,
smaller monthly,Bigram,82,Regular,
solid job,Bigram,82,Regular,
tax owe,Bigram,82,Regular,
time plan,Bigram,82,Regular,
time student,Bigram,82,Regular,
try start,Bigram,82,Regular,
use add,Bigram,82,Regular,
want combine,Bigram,82,Regular,
add different,Bigram,81,Regular,
add rate,Bigram,81,Regular,
additional question,Bigram,81,Regular,
anniversary,Unigram,81,Regular,
blue,Unigram,81,Regular,
card smaller,Bigram,81,Regular,
cater,Unigram,81,Regular,
cpa,Unigram,81,Regular,
different card,Bigram,81,Regular,
enhance,Unigram,81,Regular,
excellent job,Bigram,81,Regular,
financial stability,Bigram,81,Regular,
folk,Unigram,81,Regular,
free monthly,Bigram,81,Regular,
good risk,Bigram,81,Regular,
help payment,Bigram,81,Regular,
improvement need,Bigram,81,Regular,
integrity,Unigram,81,Regular,
invest add,Bigram,81,Regular,
like card,Bigram,81,Regular,
live parent,Bigram,81,Regular,
look fund,Bigram,81,Regular,
make additional,Bigram,81,Regular,
miss single,Bigram,81,Regular,
need complete,Bigram,81,Regular,
payment creditor,Bigram,81,Regular,
payment obligation,Bigram,81,Regular,
purchase equipment,Bigram,81,Regular,
refer,Unigram,81,Regular,
remodel house,Bigram,81,Regular,
simply look,Bigram,81,Regular,
sooner thank,Bigram,81,Regular,
spend month,Bigram,81,Regular,
use wed,Bigram,81,Regular,
year sooner,Bigram,81,Regular,
add care,Bigram,80,Regular,
add enable,Bigram,80,Regular,
add utilize,Bigram,80,Regular,
additional money,Bigram,80,Regular,
appraise,Unigram,80,Uncertain,כנ״ל
ask help,Bigram,80,Regular,
balance want,Bigram,80,Regular,
bar,Unigram,80,Regular,
broker,Unigram,80,Regular,
business work,Bigram,80,Regular,
card different,Bigram,80,Regular,
card know,Bigram,80,Regular,
card responsible,Bigram,80,Regular,
considerable,Unigram,80,Regular,
creditcards,Unigram,80,Regular,
department store,Bigram,80,Regular,
deplete,Unigram,80,Regular,
facilitate,Unigram,80,Regular,
fit budget,Bigram,80,Regular,
free mortgage,Bigram,80,Regular,
great payment,Bigram,80,Regular,
help expense,Bigram,80,Regular,
help time,Bigram,80,Regular,
history excellent,Bigram,80,Regular,
improve financial,Bigram,80,Regular,
income job,Bigram,80,Regular,
investor fund,Bigram,80,Regular,
lawn,Unigram,80,Regular,
need refinance,Bigram,80,Regular,
payment combine,Bigram,80,Regular,
payment leave,Bigram,80,Regular,
payment reasonable,Bigram,80,Regular,
personal finance,Bigram,80,Regular,
phone internet,Bigram,80,Regular,
purchase engagement,Bigram,80,Regular,
rate free,Bigram,80,Regular,
repay time,Bigram,80,Regular,
represent,Unigram,80,Regular,
save buy,Bigram,80,Regular,
score late,Bigram,80,Regular,
start life,Bigram,80,Regular,
